Document_id,clean_text,Sentiment
36,"Vast quantities of text are becoming available in elec-tronic form, ranging from published documents (e.g., electronic dictionaries, encyclopedias, libraries and archives for information retrieval services), to private databases (e.g., marketing information, legal records, medical histories), to personal email and faxes. Online information services are reaching mainstream computer users. There were over 15 million Internet users in 1993, and projections are for 30 million in 1997. With media attention reaching all-time highs, hardly a day goes by without a new article on the National Infor-mation Infrastructure, digital libraries, networked services, digital convergence or intelligent agents. This attention is moving natural language processing along the critical path for all kinds of novel applications. This article will mention a number of successful applications of natural language processing (NLP). Word processing and information management are two of the better examples, though there have been many others, both large and small. A small success, worth a few million or perhaps even a few tens of millions of dollars a year, is more than enough to support a small busi-ness. There have also been a few big successes, for example, $100 million or more a year in revenues, large enough to help create whole new industries. Of course, along with the successes, there have also been a few failures. We donâ€™t want to contribute to the â€œhypeâ€™ â€™ by mentioning only the success-es. The early boom and bust in machine translation (MT), starting with the first public demonstration of MT in 1954 and ending with the sobering findings of the ALPAC committee in 1966 [2], will be mentioned as an example of the danger of excessive optimism. While keeping these lessons of the past in mind, this article will describe a 71 A variety of suc-cessful applica-tions of natural language process-ing (NLP), both large and small, are surveyed in this article and new opportunities are explored.",Negative
37,"Over the last few years, a number of areas of natural language processing have begun applying graph-based techniques. These include, among others, text summarization, syntactic parsing, word sense disambiguation, ontology construction, sentiment and subjectivity analysis, text clustering. In this paper, we present some of the most successful graph-based representations and algorithms used in language processing, and try to explain how and why they work.",Positive
38,"visual development environment to support the visual assembly, execution and analysis of modular natural language processing systems. The visual model is an executable data flow program graph, automatically synthesised from data dependency declarations of language processing modules. The graph is then directly executable: modules are run interactively in the graph, and results are accessible via generic text visualisation tools linked to the modules. These tools lighten the â€˜cognitive load â€™ of viewing and comparing module results by relating data produced by modules back to the underlying text, by reducing the amount of search in examining results, and by displaying results in context. Overall, the GATE integrated visual development environment leads to rapid understanding of system behaviour and hence to rapid system refinement, therefore demonstrating the utility of visual programming and visualisation techniques for the development of natural language processing systems.",Neutral
39,"We applied a structure learning model, Max-Margin Structure (MMS), to natural language processing (NLP) tasks, where the aim is to capture the latent relationships within the output language domain. We formulate this model as an extension of multi-class Support Vector Machine (SVM) and present a perceptronâ€“based learning approach to solve the problem. Experiments are carried out on two related NLP tasks: parts-of-speech (POS) tagging and machine translation (MT), illustrating the effectiveness of the model.",Neutral
40,"This chapter considers the revolution that has taken place in natural language processing research over the last five years. It begins by providing a brief guide to the structure of the field and then presents a caricature of two competing paradigms of 1980s NLP research and indicates the reasons why many of those involved have now seen fit to abandon them in their pure forms. Attention is then directed to the lexicon, a component of NLP systems which started out as Cinderella but which has finally arrived at the ball. This brings us to an account of what has been going on in the field most recently, namely a merging of the two 1980s paradigms in a way that is generating a host of interesting new research questions. The chapter concludes by trying to identify some of the key conceptual, empirical and formal issues that now stand in need of resolution.",Negative
41,"Many Natural Language Processing (NLP) techniques have been used in Information Retrieval. The results are not encouraging. Simple methods (stopwording, porter-style stemming, etc.) usually yield significant improvements, while higher-level processing (chunking, parsing, word sense disambiguation, etc.) only yield very small improvements or even a decrease in accuracy. At the same time, higher-level methods increase the processing and storage cost dramatically. This makes them hard to use on large collections. We review NLP techniques and come to the conclusion that (a) NLP needs to be optimized for IR in order to be effective and (b) document retrieval is not an ideal application for NLP, at least given the current state-of-the-art in NLP. Other IR-related tasks, e.g., question answering and information extraction, seem to be better suited.",Negative
42,"Natural language is a complex and compound organization that structures basic linguistic elements to represent various meanings. Therefore, to understand the nature of natural language, we need a sophisticated treatment of the basic elements as well as the insights about how these elements will be structured. In the words of statistical natural language processing, we need a sophisticated statistical model of the basic elements, such as words or phrases, to be combined with the structural modeling such as syntactic parsing or dependency analysis. Since the basic property of these elements is considered common over the whole corpora, we need to model their distributional property over the corpora by a statistical learning approach. In this dissertation, I focus on the statistical learning approach to the distributional modeling of basic elements by considering two kinds of distributional units, that is, static units and dynamic units. Along these two units, I propose novel treatments of distributional units that are dierent from the methods used in natural language processing so far. In Chapter 2, I consider static units. Static units are the units we know a priori to be eective for a specic kind of task in hand; for example, documents, paragraphs, or sentences. For the treatment of these units, specically, measuring a distance between two units, kernel methods have been adopted recently. ",Neutral
43,"Kernelized sorting is an approach for matching objects from two sources (or domains) that does not require any prior notion of similarity between objects across the two sources. Unfortunately, this technique is highly sensitive to initialization and high dimensional data. We present variants of kernelized sorting to increase its robustness and performance on several Natural Language Processing (NLP) tasks: document matching from parallel and comparable corpora, machine transliteration and even image processing. Empirically we show that, on these tasks, a semi-supervised variant of kernelized sorting outperforms matching canonical correlation analysis.",Neutral
44,"The research areas of plan recognition and natural language parsing share many common features and even algorithms. However, the dialog between these two disciplines has not been effective. Specifically, significant recent results in parsing mildly context sensitive grammars have not been leveraged in the state of the art plan recognition systems. This paper will outline the relations between natural language processing(NLP) and plan recognition(PR), argue that each of them can effectively inform the other, and then focus on key recent research results in NLP and argue for their applicability to PR.",Negative
45,"In this paper, we describe a framework for developing probabilistic classifiers in natural language processing. Our focus is on formulating models that capture the most important interdependencies among features, to avoid overfitting the data while also characterizing the data well. The class of probability models and the associated inference techniques described here were developed in mathematical statistics, and are widely used in artificial intelligence and applied statistics. Our goal is to make this model selection framework accessible to researchers in NLP, and provide pointers to available software and important references. In addition, we describe how the quality of the three determinants of classifier performance (the features, the form of the model, and the parameter estimates) can be separately evaluated. We also demonstrate the classification performance of these models in a large-scale experiment involving the disambiguation of 34 words taken from the HECTOR word sense corpus (Hanks 1996). ",Positive
46,"While computational logic has become widely used for representing and reasoning with linguistic knowledge, the cross-fertilization between logic programming and machine learning has given rise to a new discipline known as inductive logic programming. Inspired by, and building on the achievements of logic programming within both natural language research and machine learning, we point out opportunities for induction of linguistic knowledge within logic (programming).",Positive
47,"Information retrieval is the process of finding the documents in a document collection that satisfies the information need of the user. The documents are natural language constructs, and the motivation of this work is to investigate how natural language processing can be used to improve the performance of information retrieval systems. An abstract was supplied to the natural language processor TUC together with the necessary knowledge needed for TUC to understand the abstract. Then TUC was asked to determine the relevance of the abstract to some queries, and it was investigated how much extra knowledge needed to be supplied to TUC, in order to get the correct answer.",Neutral
48,"What is a statistical method and how can it be used in natural language  processing (NLP)? In this paper, we start from a definition of NLP as concerned with  the design and implementation of effective natural language input and output components  for computational systems. We distinguish three kinds of methods that are  relevant to this enterprise: application methods, acquisition methods, and evaluation  methods. Using examples from the current literature, we show that all three kinds  of methods may be statistical in the sense that they involve the notion of probability  or other concepts from statistical theory. Furthermore, we show that these statistical  methods are often combined with traditional linguistic rules and representations. In  view of these facts, we argue that the apparent dichotomy between ""rule-based"" and  ""statistical"" methods is an over-simplification at best.",Neutral
49,"Natural Language Processing (NLP) is a very large and diverse subtopic of artificial intelligence. As a result, NLP itself has many subtopics including optical character recognition, text to speech translators, foreign language reading and writing aids, machine translation, and speech recognition. While these branches of NLP have some common problems that must be overcome to achieve the ultimate goal of NLP, each of these subtopics has unique roadblocks as well. While some of the problems that exist within these sub-domains have been solved, exciting research is currently being done in every one of these areas. The aim of this survey is to provide a brief history of NLP, motivate the importance of NLP and to explain the problems that just about all subtopics of NLP share. This paper will then examine one of the sub-topics more closely, highlighting previous research that has produced significant findings, and provide insight into the status of current research being done.",Negative
50,"Traditional approaches to interpretation in natural language processing typically fall into one of three classes: syntax-driven, semantics-driven, or frame/task based. Syntax-driven approaches use a domain-independent grammar to drive the interpretation process and produce a global parse of the input, accounting for each word of the sentence. Semantics-driven approaches use knowledge about the case frames of the verbs to drive the interpretation process. Early semantic parsers often ignored syntax altogether [1, 2] although more recent systems tend to integrate the two components whether primarily syntax or semantics driven. Frame or task based parsers use infor-marion in the underlying domain to guide the parse. Script based parsers are one example of this class.",Neutral
51,This chapter examines the application of natural language processing to computer assisted language learning including the history of work in this field over the last thirtyfive years but with a focus on current developments and opportunities.,Neutral
52,"In this report, some collaborative work between the fields of Machine Learning (ML) and Natural Language Processing (NLP) is presented. The document is structured in two parts. The first part includes a superficial but comprehensive survey covering the state-of-the-art of machine learning techniques applied to natural language learning tasks. In the second part, a particular problem, namely Word Sense Disambiguation (WSD), is studied in more detail. In doing so, four algorithms for supervised learning, which belong to different families, are compared in a benchmark corpus for the WSD task. Both qualitative and quantitative conclusions are drawn. This document stands for the complementary documentation for the conference ""Aprendizaje autom 'atico aplicado al procesamiento del lenguaje natural"", given by the author within the course: ""Curso de Industrias de la Lengua: La Ingenier'ia Lingu'istica en la Sociedad de la Informaci'on"", Fundaci'on Duques de Soria. Soria. July 2000.",Positive
53,"In this special issue of TAL, we look at the fundamental principles underlying evaluation in natural language processing. We adopt a global point of view that goes beyond the horizon of a single evaluation campaign or a particular protocol. After a brief review of history and terminology, we will address the topic of a gold standard for natural language processing, of annotation quality, of the amount of data, of the difference between technology evaluation and usage evaluation, of dialog systems, and of standards, before concluding with a short discussion of the articles in this special issue and some prospective remarks.",Neutral
54,"This thesis examines the use of machine learning techniques in various tasks of natural language processing, mainly for the task of information extraction from texts. The objectives are the improvement of adaptability of information extraction systems to new thematic do-mains (or even languages), and the improvement of their performance using as fewer resources (either linguistic or human) as possible. This thesis has examined two main axes: a) the research and assessment of existing algorithms of machine learning mainly in the stages of linguistic pre-processing (such as part of speech tagging) and named-entity recog-nition, and b) the creation of a new machine learning algorithm and its assessment on synthetic data, as well as in real world data for the task of relation extraction between named entities. This new algorithm belongs to the category of inductive grammar learning, and can infer context free grammars from only positive examples.",Positive
55,"Probabilistic finite-state string transducers (FSTs) are extremely popular in natural language processing, due to powerful generic methods for applying, composing, and learning them. Unfortunately, FSTs are not a good fit for much of the current work on probabilistic modeling for machine translation, summarization, paraphrasing, and language modeling. These methods operate directly on trees, rather than strings. We show that tree acceptors and tree transducers subsume most of this work, and we discuss algorithms for realizing the same benefits found in probabilistic string transduction. ",Negative
56,"Natural language processing systems (NLP) that extract clinical information from textual reports were shown to be effective for limited domains and for particular applications. Because an NLP system typically requires substantial resources to develop, it is beneficial if it is designed to be easily extendible to multiple domains and applications. This paper describes multiple extensions of an NLP system called MedLEE, which was originally developed for the domain of radiological reports of the chest, but has subsequently been extended to mammography, discharge summaries, all of radiology, electrocardiography, echocardiography, and pathology.",Neutral
57,"We propose a bifurcated paradigm for the construction of a Prolog knowl-edge base from a body of documents: first, an information extraction (IE) application that will annotate the corpus and output the annotated documents, and second, a Prolog knowledge base (KB) application that will transform the annotated documents into a KB (a set of facts). The General Architecture for Text Engineering (GATE) was used as the platform for the development and execution of the IE application, which in-cluded most components of A Nearly New Information Extraction (ANNIE) system. Apart from the basic IE capabilities of ANNIE, the application fea-tured additional high-level annotation grammars written in the Java Annota-tion Patterns Engine (JAPE) language and a trainable annotator that used the maximum entropy machine learning model, which were designed to annotate several biographies of well-known mathematicians. The Prolog KB applica-tion, programmed to be executed within the XSB System, was designed to receive the annotated text output by the IE application and produce a knowl-edge base, and it successfully creates a database of Prolog facts that can be intelligently queried through the XSB System. The KB utilizes the frame representation of facts, specifically by treating one document as an object to be represented as a frame, with each annotation type treated as a slot whose multiple values are whichever specific strings were annotated by the IE appli-cation. This transformation of extracted information into Prolog facts forms a link between IE, a recent development in Natural Language Processing, and logic programming with Prolog.",Neutral
58,"We developed a prototype information retrieval system  which uses advanced natural language processing  techniques to enhance the effectiveness of traditional  key-word based document retrieval. The backbone  of our system is a statistical retrieval engine  which performs automated indexing of documents,  then search and ranking in response to user queries.",Positive
59,"In this paper we will discuss several issues and requirements for enabling natural language processing systems to become context-adaptive. Given the fact that emerging systems feature speaker independent continuous speech recognition restricted to individual domains and are equipped with syntactic and semantic parsers for understanding input from these domains, we should begin to envision open multi-domain natural language processing systems. We will address the following issues arising in such open systems: How to divide natural language processing modules in context-variant and context-invariant components and how to enable the ensuing systems to detect contextual changes for processing the context-variant phenomena.  ",Negative
60,"In Fall 2004 I introduced a new course  called Applied Natural Language Processing,  in which students acquire an understanding  of which text analysis techniques  are currently feasible for practical applications.",Neutral
61,"This paper describes a natural language system which improves its own performance through learning. The system processes short English narratives and is able to acquire, from a single narrative, a new schema for a stereotypical set of actions. During the understanding process, the system attempts to construct explanations for characters ' actions in terms of the goals their actions were meant to achieve. When the system observes that a character has achieved an interesting goal in a novel way, it generalizes the set of actions they used to achieve this goal into a new schema. The generalization process is a knowledge-based analysis of the causal structure of the narrative which removes unnecessary details while maintaining the validity of the causal explanation. The resulting generalized set of actions is then stored as a new schema and used by the system to correctly process narratives which were previously beyond its capabilities.",Positive
